step,S,E,I,R,inc,beta,Rt
211,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
212,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
213,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
214,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
215,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
216,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
217,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
218,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
219,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
220,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
221,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
222,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
223,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
224,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
225,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
226,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
227,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
228,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
229,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
230,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
231,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
232,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
233,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
234,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
235,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
236,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
237,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
238,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
239,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
240,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
241,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
242,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
243,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
244,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
245,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
246,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
247,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
248,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
249,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
250,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
