t,GR,ver
87,-0.18782632010564165,30
88,-0.18046252357274364,30
89,-0.1525394216371613,30
90,-0.16307423543486513,30
91,-0.18184403717859005,30
92,-0.1419010048166399,30
93,-0.14596322472216514,30
94,-0.18535605436718425,30
95,-4.011473013577042,30
96,-0.14729468692655368,30
97,-3.999376163787397,30
98,-0.1557609611487302,30
99,-0.15249036595011276,30
100,-0.1535056728662697,30
101,-3.98688638213935,30
102,-3.9772969797242905,30
103,-0.1253733371897854,30
104,-3.9729899220082903,30
105,-3.9531663517500673,30
106,-3.946245039590792,30
107,-3.947503050523554,30
108,-3.946245039590792,30
109,-3.9175716640833556,30
110,-3.925610399310585,30
111,-3.9108826409012836,30
112,-3.9025054932919203,30
113,-3.9175716640833556,30
114,-3.897367137297678,30
115,-3.891289752071213,30
116,-3.9025054932919203,30
117,-3.8838516336940727,30
118,-3.8838516336940727,30
119,-3.9025054932919203,30
120,-3.8838516336940727,30
121,-3.8607467276754077,30
122,-3.891289752071213,30
123,-3.8838516336940727,30
124,-3.837641821656743,30
125,0,30
126,-3.8607467276754073,30
127,0,30
128,-3.837641821656743,30
129,-3.837641821656743,30
130,-3.837641821656743,30
131,0,30
132,0,30
133,-3.837641821656743,30
134,0,30
135,0,30
136,0,30
137,0,30
138,0,30
139,0,30
140,0,30
141,0,30
142,0,30
143,0,30
144,0,30
145,0,30
146,0,30
147,0,30
148,0,30
149,0,30
150,0,30
151,0,30
152,0,30
153,0,30
154,0,30
155,0,30
156,0,30
157,0,30
158,0,30
159,0,30
160,0,30
161,0,30
162,0,30
163,0,30
164,0,30
165,0,30
166,0,30
167,0,30
168,0,30
169,0,30
170,0,30
171,0,30
172,0,30
173,0,30
174,0,30
175,0,30
176,0,30
177,0,30
178,0,30
179,0,30
180,0,30
181,0,30
182,0,30
183,0,30
184,0,30
185,0,30
186,0,30
187,0,30
188,0,30
189,0,30
190,0,30
191,0,30
192,0,30
193,0,30
194,0,30
195,0,30
196,0,30
197,0,30
198,0,30
199,0,30
200,0,30
201,0,30
202,0,30
203,0,30
204,0,30
205,0,30
206,0,30
207,0,30
208,0,30
209,0,30
210,0,30
211,0,30
212,0,30
213,0,30
214,0,30
215,0,30
216,0,30
217,0,30
218,0,30
219,0,30
220,0,30
221,0,30
222,0,30
223,0,30
224,0,30
225,0,30
226,0,30
227,0,30
228,0,30
229,0,30
230,0,30
231,0,30
232,0,30
233,0,30
234,0,30
235,0,30
236,0,30
237,0,30
238,0,30
239,0,30
240,0,30
241,0,30
242,0,30
243,0,30
244,0,30
245,0,30
246,0,30
247,0,30
248,0,30
249,0,30
250,0,30
251,0,30
41,3.1522850043849875,40
